device_knumber,predicate_knumber,tier
K151819,K092193,SECTION_HEADED
K151819,K130573,SECTION_HEADED
K151885,K042508,SECTION_HEADED
K151885,K132332,SECTION_HEADED
K151974,K090203,SECTION_HEADED
K151983,K122860,SECTION_HEADED
K152242,K042598,SECTION_HEADED
K152242,K142938,SECTION_HEADED
K152242,K955848,SECTION_HEADED
K152242,K962808,SECTION_HEADED
K152298,K043083,SECTION_HEADED
K152298,K063128,SECTION_HEADED
K152298,K093552,SECTION_HEADED
K152298,K102380,SECTION_HEADED
K152298,K140735,SECTION_HEADED
K153169,K140738,SECTION_HEADED
K153378,K090675,SECTION_HEADED
K153378,K124027,SECTION_HEADED
K153378,K924018,SECTION_HEADED
K153379,K113718,SECTION_HEADED
K153453,K011437,SECTION_HEADED
K153453,K022623,SECTION_HEADED
K153453,K101278,SECTION_HEADED
K153573,K143023,SECTION_HEADED
K153595,K102975,SECTION_HEADED
K153629,K111122,SECTION_HEADED
K153629,K142079,SECTION_HEADED
K153629,K150053,SECTION_HEADED
K153657,K092201,SECTION_HEADED
K153657,K094050,SECTION_HEADED
K153720,K073109,SECTION_HEADED
K153720,K123993,SECTION_HEADED
K153720,K131122,SECTION_HEADED
K160167,K131548,SECTION_HEADED
K160548,K111834,SECTION_HEADED
K160548,K152187,SECTION_HEADED
K160553,K161489,SECTION_HEADED
K160804,K102443,SECTION_HEADED
K160804,K123362,SECTION_HEADED
K160804,K130539,SECTION_HEADED
K160959,K152132,SECTION_HEADED
K161001,K123362,SECTION_HEADED
K161001,K130539,SECTION_HEADED
K161001,K143660,SECTION_HEADED
K161073,K052026,SECTION_HEADED
K161073,K103384,SECTION_HEADED
K161292,K151418,SECTION_HEADED
K161332,K151727,SECTION_HEADED
K161332,K153031,SECTION_HEADED
K161539,K051323,SECTION_HEADED
K161592,K010685,SECTION_HEADED
K161592,K033363,SECTION_HEADED
K161592,K113369,SECTION_HEADED
K161592,K121771,SECTION_HEADED
K161592,K122529,SECTION_HEADED
K161592,K150090,SECTION_HEADED
K161635,K121011,SECTION_HEADED
K161742,K052906,SECTION_HEADED
K162026,K061223,SECTION_HEADED
K162026,K093552,SECTION_HEADED
K162026,K973524,SECTION_HEADED
K162026,K990030,SECTION_HEADED
K162898,K151418,SECTION_HEADED
K162944,K150053,PROXIMITY_ONLY
K162944,K151934,PROXIMITY_ONLY
K162944,K151939,PROXIMITY_ONLY
K162944,K152515,PROXIMITY_ONLY
K162944,K152793,PROXIMITY_ONLY
K162944,K153352,PROXIMITY_ONLY
K163293,K083447,SECTION_HEADED
K163293,K123000,SECTION_HEADED
K163293,K131920,SECTION_HEADED
K163293,K153609,SECTION_HEADED
K163293,K161426,SECTION_HEADED
K163422,K121982,SECTION_HEADED
K163422,K150765,SECTION_HEADED
K170106,K090988,SECTION_HEADED
K170106,K120790,SECTION_HEADED
K170106,K121416,SECTION_HEADED
K170106,K122232,PROXIMITY_ONLY
K170106,K140826,PROXIMITY_ONLY
K170106,K153273,SECTION_HEADED
K170119,K112036,SECTION_HEADED
K170119,K153782,SECTION_HEADED
K170119,K160597,SECTION_HEADED
K170119,K160958,SECTION_HEADED
K170119,K161230,SECTION_HEADED
K170165,K043045,SECTION_HEADED
K170165,K063359,SECTION_HEADED
K170288,K152298,SECTION_HEADED
K170310,K143061,SECTION_HEADED
K170452,K092265,SECTION_HEADED
K170473,K100858,SECTION_HEADED
K170473,K112158,SECTION_HEADED
K170473,K141934,SECTION_HEADED
K170473,K151739,SECTION_HEADED
K170573,K020114,SECTION_HEADED
K170573,K100900,SECTION_HEADED
